q0,initial
q3,final
q0,',q1
q1,',q3
q1," ",q2
q1,!,q2
q1,"""",q2
q1,#,q2
q1,$,q2
q1,%,q2
q1,&,q2
q1,(,q2
q1,),q2
q1,*,q2
q1,+,q2
q1,",",q2
q1,-,q2
q1,.,q2
q1,/,q2
q1,0,q2
q1,1,q2
q1,2,q2
q1,3,q2
q1,4,q2
q1,5,q2
q1,6,q2
q1,7,q2
q1,8,q2
q1,9,q2
q1,:,q2
q1,;,q2
q1,<,q2
q1,=,q2
q1,>,q2
q1,?,q2
q1,@,q2
q1,A,q2
q1,B,q2
q1,C,q2
q1,D,q2
q1,E,q2
q1,F,q2
q1,G,q2
q1,H,q2
q1,I,q2
q1,J,q2
q1,K,q2
q1,L,q2
q1,M,q2
q1,N,q2
q1,O,q2
q1,P,q2
q1,Q,q2
q1,R,q2
q1,S,q2
q1,T,q2
q1,U,q2
q1,V,q2
q1,W,q2
q1,X,q2
q1,Y,q2
q1,Z,q2
q1,[,q2
q1,\,q2
q1,],q2
q1,^,q2
q1,_,q2
q1,`,q2
q1,a,q2
q1,b,q2
q1,c,q2
q1,d,q2
q1,e,q2
q1,f,q2
q1,g,q2
q1,h,q2
q1,i,q2
q1,j,q2
q1,k,q2
q1,l,q2
q1,m,q2
q1,n,q2
q1,o,q2
q1,p,q2
q1,q,q2
q1,r,q2
q1,s,q2
q1,t,q2
q1,u,q2
q1,v,q2
q1,w,q2
q1,x,q2
q1,y,q2
q1,z,q2
q1,{,q2
q1,|,q2
q1,},q2
q1,~,q2
q2,',q3
